species_name,treatment,mean,se,min,max,n,scientificName
Koeleria vallesiana,PH,1.29,0.23,0.1,4,24,Koeleria vallesiana (Honck.) Bertol. ex Schult.
Lavandula lanata,PH,2.03,0.96,0.1,8,9,Lavandula lanata Boiss.
Leontodon longirrostris,PH,0.1,NA,0.1,0.1,1,Leontodon longirostris (Finch & P.D.Sell) Talavera
Linaria aeruginea subsp. aeruginea,PH,0.33,0.19,0.1,0.7,3,Linaria aeruginea subsp. aeruginea
Linaria arvensis,PH,0.1,0,0.1,0.1,2,Linaria arvensis (L.) Desf.
Linaria simplex,PH,0.28,0.15,0.1,1,6,Linaria simplex (Willd.) DC.
Linum strictum,PB,0.1,0,0.1,0.1,2,Linum strictum L.
Linum suffruticosum,PB,1.03,0.2,0.2,3.5,16,Linum suffruticosum L.
Linum suffruticosum,PH,0.78,0.1,0.1,4.2,48,Linum suffruticosum L.
Lithodora fruticosa,PH,0.8,NA,0.8,0.8,1,Lithodora fruticosa (L.) Griseb.
Logfia arvensis,PH,0.5,NA,0.5,0.5,1,Logfia arvensis (L.) Holub
Lomelosia stellata,PH,0.5,NA,0.5,0.5,1,Lomelosia stellata (L.) Raf.
Macrochloa tenacissima,PB,16.69,3.92,0.1,60,23,"Macrochloa tenacissima Linnaeus, 1755"
Macrochloa tenacissima,PH,26.05,5.25,0.1,80,28,"Macrochloa tenacissima Linnaeus, 1755"
Malcolmia africana,PH,0.3,0.06,0.2,0.4,3,Malcolmia africana (L.) R.Br.
Medicago minima,PB,0.1,NA,0.1,0.1,1,Medicago minima (L.) Bartal.
Medicago minima,PH,0.1,NA,0.1,0.1,1,Medicago minima (L.) Bartal.
Minuartia campestris,PH,0.1,NA,0.1,0.1,1,Minuartia campestris L.
Minuartia hybrida,PB,0.1,0,0.1,0.1,2,Minuartia hybrida Vill.
Minuartia hybrida,PH,0.4,0.22,0.1,3,13,Minuartia hybrida Vill.
Odontites,PB,0.5,NA,0.5,0.5,1,Odontites Ludw.
Odontites,PH,0.27,0.04,0.1,0.5,12,Odontites Ludw.
Ononis natrix,PH,0.85,0.23,0.2,1.5,6,Ononis natrix L.
Ononis pusilla,PB,0.1,NA,0.1,0.1,1,Ononis pusilla L.
Ononis pusilla,PH,0.35,0.15,0.1,0.7,4,Ononis pusilla L.
Ononis reclinata subsp. Mollis,PB,0.1,NA,0.1,0.1,1,Ononis reclinata L.
Ononis reclinata subsp. Mollis,PH,0.2,NA,0.2,0.2,1,Ononis reclinata L.
Onopordum acaulon,PB,0.3,NA,0.3,0.3,1,Onopordum acaulon L.
Onopordum acaulon,PH,2.5,NA,2.5,2.5,1,Onopordum acaulon L.
Papaver dubium,PH,0.2,NA,0.2,0.2,1,Papaver dubium L.
Paronychia argentea,PH,0.1,0,0.1,0.1,2,Paronychia argentea Lam.
Petrorhagia nanteuilii,PB,0.1,NA,0.1,0.1,1,Petrorhagia nanteuilii (Burnat) P.W.Ball & Heywood
Petrorhagia nanteuilii,PH,0.1,0,0.1,0.1,2,Petrorhagia nanteuilii (Burnat) P.W.Ball & Heywood
Picris hispanica,PB,0.1,0,0.1,0.1,2,Picris hispanica (Willd.) P.D.Sell
Picris hispanica,PH,3.2,2.02,0.1,7,3,Picris hispanica (Willd.) P.D.Sell
Plantago albicans,PB,6,NA,6,6,1,Plantago albicans L.
Poa bulbosa,PB,0.3,NA,0.3,0.3,1,Poa bulbosa L.
Poa bulbosa,PH,1.21,0.55,0.1,8,14,Poa bulbosa L.
Polygala rupestris,PB,0.2,NA,0.2,0.2,1,Polygala rupestris Pourr.
Polygala rupestris,PH,0.32,0.1,0.1,0.8,8,Polygala rupestris Pourr.
Reseda alba,PB,1,NA,1,1,1,Reseda alba L.
Reseda alba,PH,1,0,1,1,2,Reseda alba L.
Reseda lutea,PB,0.35,0.05,0.3,0.4,2,Reseda lutea L.
Reseda lutea,PH,0.98,0.24,0.1,5,23,Reseda lutea L.
Reseda undata subsp. Undata,PH,0.25,0.15,0.1,0.4,2,Reseda undata L.
Retama sphaerocarpa,PH,4,NA,4,4,1,Retama sphaerocarpa (L.) Boiss.
Rhaponticum coniferum,PB,0.4,NA,0.4,0.4,1,Rhaponticum coniferum (L.) Greuter
Rhaponticum coniferum,PH,0.4,0.3,0.1,0.7,2,Rhaponticum coniferum (L.) Greuter
Rosmarinus officinalis,PH,0.23,0.09,0.1,0.4,3,Rosmarinus officinalis L.
Salvia lavandulifolia subsp. vellerea,PB,1,0,1,1,2,Salvia lavandulifolia subsp. vellerea (Cuatrec.) Rivas Goday & Rivas Mart.
Salvia lavandulifolia subsp. vellerea,PH,9.97,3.92,0.1,50,16,Salvia lavandulifolia subsp. vellerea (Cuatrec.) Rivas Goday & Rivas Mart.
Sanguisorba,PH,0.48,0.19,0.2,1,4,Sanguisorba L.
Scabiosa turolensis,PH,0.8,0.7,0.1,1.5,2,Scabiosa turolensis Pau
Scorzonera angustifolia,PB,0.58,0.36,0.1,2,5,Scorzonera angustifolia L.
Scorzonera angustifolia,PH,0.27,0.09,0.1,0.4,3,Scorzonera angustifolia L.
Sideritis pusilla,PH,0.88,0.38,0.1,3,9,Sideritis pusilla (Lange) Pau
Silene conica,PH,0.1,NA,0.1,0.1,1,Silene conica L.
Silene mellifera,PH,0.32,0.1,0.1,0.5,4,Silene mellifera Boiss. & Reut.
Staehelina dubia,PH,0.71,0.43,0.25,2,4,Staehelina dubia L.
Stipa almeriense,PH,1.5,NA,1.5,1.5,1,Stipa almeriensis F.M.Vázquez
Stipa bufensis,PB,17,16,1,33,2,"Stipa bufensis F.M.Vázquez, H.Scholz & Sonnentag"
Stipa bufensis,PH,0.7,0.26,0.1,2,7,"Stipa bufensis F.M.Vázquez, H.Scholz & Sonnentag"
Teucrium capitatum subsp. gracillimum,PB,1.49,0.68,0.1,5,8,Teucrium capitatum subsp. gracillimum (Rouy) Valdés Berm.
Teucrium capitatum subsp. gracillimum,PH,0.74,0.13,0.1,2,27,Teucrium capitatum subsp. gracillimum (Rouy) Valdés Berm.
Thymelaea,PB,0.4,NA,0.4,0.4,1,Thymelaea Mill.
Thymus zygis subsp. gracilis,PB,0.1,NA,0.1,0.1,1,Thymus zygis subsp. gracilis (Boiss.) R.Morales
Thymus zygis subsp. gracilis,PH,0.5,NA,0.5,0.5,1,Thymus zygis subsp. gracilis (Boiss.) R.Morales
Trachynia distachya,PB,0.2,NA,0.2,0.2,1,Trachynia distachya (L.) Link
Trifolium arvense,PH,0.3,NA,0.3,0.3,1,Trifolium arvense L.
Trigonella polyceratia,PB,0.1,NA,0.1,0.1,1,Trigonella polyceratia L.
Valerianella,PH,0.1,0,0.1,0.1,4,Valerianella Mill.
Velezia rigida,PH,0.1,NA,0.1,0.1,1,Velezia rigida L.
Xeranthemum inapertum,PH,0.1,NA,0.1,0.1,1,Xeranthemum inapertum (L.) Mill.
